instance;n;p;pc;pm;run;bestObjective;evaluations;timeMs;reachedOptimum
ap_50_3.txt;50;3;1,000;0,050;11;158569,933395;94872;489;false
ap_50_3.txt;50;3;1,000;0,050;12;158569,933395;2863324;15065;false
ap_50_3.txt;50;3;1,000;0,050;13;158569,933395;1715254;9012;false
ap_50_3.txt;50;3;1,000;0,050;14;158569,933395;69864;364;false
ap_50_3.txt;50;3;1,000;0,050;15;158569,933395;47196;244;false
ap_50_3.txt;50;3;1,000;0,050;16;158569,933395;1472647;7768;false
ap_50_3.txt;50;3;1,000;0,050;17;158569,933395;4055511;21172;false
ap_50_3.txt;50;3;1,000;0,050;18;158569,933395;555446;2871;false
ap_50_3.txt;50;3;1,000;0,050;19;166848,449266;5000000;26192;false
ap_50_3.txt;50;3;1,000;0,050;20;158569,933395;62755;329;false
ap_50_3.txt;50;3;1,000;0,050;21;158569,933395;124899;647;false
ap_50_3.txt;50;3;1,000;0,050;22;166848,449266;5000000;27238;false
ap_50_3.txt;50;3;1,000;0,050;23;158569,933395;88538;459;false
ap_50_3.txt;50;3;1,000;0,050;24;158569,933395;649806;3388;false
ap_50_3.txt;50;3;1,000;0,050;25;158569,933395;328994;1715;false
ap_50_3.txt;50;3;1,000;0,050;26;158569,933395;1089731;5683;false
ap_50_3.txt;50;3;1,000;0,050;27;158569,933395;28846;149;false
ap_50_3.txt;50;3;1,000;0,050;28;162582,773928;5000000;26501;false
ap_50_3.txt;50;3;1,000;0,050;29;168542,803733;5000000;26620;false
ap_50_3.txt;50;3;1,000;0,050;30;166848,449266;5000000;26286;false
ap_50_3.txt;50;3;1,000;0,100;1;162582,773928;5000000;28105;false
ap_50_3.txt;50;3;1,000;0,100;2;158569,933395;223189;1180;false
ap_50_3.txt;50;3;1,000;0,100;3;162582,773928;5000000;26738;false
ap_50_3.txt;50;3;1,000;0,100;4;158569,933395;152478;800;false
ap_50_3.txt;50;3;1,000;0,100;5;158569,933395;773496;4213;false
ap_50_3.txt;50;3;1,000;0,100;6;162582,773928;5000000;26286;false
ap_50_3.txt;50;3;1,000;0,100;7;158569,933395;1385810;7405;false
ap_50_3.txt;50;3;1,000;0,100;8;162582,773928;5000000;26593;false
ap_50_3.txt;50;3;1,000;0,100;9;162582,773928;5000000;26450;false
ap_50_3.txt;50;3;1,000;0,100;10;158569,933395;2367606;12539;false
ap_50_3.txt;50;3;1,000;0,100;11;166848,449266;5000000;26519;false
ap_50_3.txt;50;3;1,000;0,100;12;158569,933395;3404718;18138;false
ap_50_3.txt;50;3;1,000;0,100;13;158569,933395;2379316;12985;false
ap_50_3.txt;50;3;1,000;0,100;14;166848,449266;5000000;26565;false
ap_50_3.txt;50;3;1,000;0,100;15;158569,933395;251404;1314;false
ap_50_3.txt;50;3;1,000;0,100;16;158569,933395;88544;463;false
ap_50_3.txt;50;3;1,000;0,100;17;158569,933395;55226;298;false
ap_50_3.txt;50;3;1,000;0,100;18;158569,933395;248000;1296;false
ap_50_3.txt;50;3;1,000;0,100;19;158569,933395;1506433;8012;false
ap_50_3.txt;50;3;1,000;0,100;20;163319,439049;5000000;26479;false
ap_50_3.txt;50;3;1,000;0,100;21;158569,933395;118043;616;false
ap_50_3.txt;50;3;1,000;0,100;22;158569,933395;133670;706;false
ap_50_3.txt;50;3;1,000;0,100;23;158569,933395;149120;782;false
ap_50_3.txt;50;3;1,000;0,100;24;158569,933395;231538;1213;false
ap_50_3.txt;50;3;1,000;0,100;25;158569,933395;203134;1078;false
ap_50_3.txt;50;3;1,000;0,100;26;158569,933395;4749316;24996;false
ap_50_3.txt;50;3;1,000;0,100;27;163012,124938;5000000;26519;false
ap_50_3.txt;50;3;1,000;0,100;28;158569,933395;86042;449;false
ap_50_3.txt;50;3;1,000;0,100;29;158569,933395;217868;1135;false
ap_50_3.txt;50;3;1,000;0,100;30;158569,933395;206662;1082;false
ap_50_2.txt;50;2;0,000;0,010;1;178484,285703;19005;98;true
ap_50_2.txt;50;2;0,000;0,010;2;178484,285703;18141;94;true
ap_50_2.txt;50;2;0,000;0,010;3;178484,285703;17225;88;true
ap_50_2.txt;50;2;0,000;0,010;4;178484,285703;5567;28;true
ap_50_2.txt;50;2;0,000;0,010;5;178548,982561;5000000;25748;false
ap_50_2.txt;50;2;0,000;0,010;6;178548,982561;5000000;25656;false
ap_50_2.txt;50;2;0,000;0,010;7;178484,285703;3931;20;true
ap_50_2.txt;50;2;0,000;0,010;8;178484,285703;53620;274;true
ap_50_2.txt;50;2;0,000;0,010;9;178484,285703;2767;14;true
ap_50_2.txt;50;2;0,000;0,010;10;178548,982561;5000000;25683;false
ap_50_2.txt;50;2;0,000;0,010;11;178548,982561;5000000;25766;false
ap_50_2.txt;50;2;0,000;0,010;12;178548,982561;5000000;25836;false
ap_50_2.txt;50;2;0,000;0,010;13;178548,982561;5000000;25639;false
ap_50_2.txt;50;2;0,000;0,010;14;178484,285703;3984;21;true
ap_50_2.txt;50;2;0,000;0,010;15;178548,982561;5000000;25948;false
ap_50_2.txt;50;2;0,000;0,010;16;178484,285703;4244;21;true
ap_50_2.txt;50;2;0,000;0,010;17;178484,285703;2775491;14334;true
ap_50_2.txt;50;2;0,000;0,010;18;178484,285703;7086;37;true
ap_50_2.txt;50;2;0,000;0,010;19;178484,285703;1561131;7967;true
ap_50_2.txt;50;2;0,000;0,010;20;178548,982561;5000000;25806;false
ap_50_2.txt;50;2;0,000;0,010;21;178548,982561;5000000;26940;false
ap_50_2.txt;50;2;0,000;0,010;22;178548,982561;5000000;25606;false
ap_50_2.txt;50;2;0,000;0,010;23;178548,982561;5000000;25944;false
ap_50_2.txt;50;2;0,000;0,010;24;178548,982561;5000000;25658;false
ap_50_2.txt;50;2;0,000;0,010;25;178484,285703;4904;26;true
ap_50_2.txt;50;2;0,000;0,010;26;178548,982561;5000000;25735;false
ap_50_2.txt;50;2;0,000;0,010;27;178484,285703;4465;23;true
ap_50_2.txt;50;2;0,000;0,010;28;178484,285703;5166;27;true
ap_50_2.txt;50;2;0,000;0,010;29;178548,982561;5000000;25582;false
ap_50_2.txt;50;2;0,000;0,010;30;178548,982561;5000000;25656;false
ap_50_2.txt;50;2;0,000;0,050;1;178484,285703;12174;66;true
ap_50_2.txt;50;2;0,000;0,050;2;178484,285703;15456;80;true
ap_50_2.txt;50;2;0,000;0,050;3;178548,982561;5000000;26073;false
ap_50_2.txt;50;2;0,000;0,050;4;178484,285703;16736;87;true
ap_50_2.txt;50;2;0,000;0,050;5;178484,285703;6765;35;true
ap_50_2.txt;50;2;0,000;0,050;6;178548,982561;5000000;26068;false
ap_50_2.txt;50;2;0,000;0,050;7;178484,285703;4766445;25092;true
ap_50_2.txt;50;2;0,000;0,050;8;178484,285703;641496;3390;true
ap_50_2.txt;50;2;0,000;0,050;9;178484,285703;4750;25;true
ap_50_2.txt;50;2;0,000;0,050;10;178484,285703;25386;132;true
ap_50_2.txt;50;2;0,000;0,050;11;178484,285703;2646894;13795;true
ap_50_2.txt;50;2;0,000;0,050;12;178548,982561;5000000;26478;false
ap_50_2.txt;50;2;0,000;0,050;13;178484,285703;6022;32;true
ap_50_2.txt;50;2;0,000;0,050;14;178484,285703;5316;28;true
ap_50_2.txt;50;2;0,000;0,050;15;178484,285703;6877;37;true
ap_50_2.txt;50;2;0,000;0,050;16;178484,285703;484473;2518;true
ap_50_2.txt;50;2;0,000;0,050;17;178484,285703;1992863;10296;true
ap_50_2.txt;50;2;0,000;0,050;18;178484,285703;3031287;15792;true
ap_50_2.txt;50;2;0,000;0,050;19;178484,285703;1181508;6212;true
ap_50_2.txt;50;2;0,000;0,050;20;178484,285703;86183;444;true
ap_50_2.txt;50;2;0,000;0,050;21;178484,285703;2533612;13339;true
ap_50_2.txt;50;2;0,000;0,050;22;178484,285703;4446546;23120;true
ap_50_2.txt;50;2;0,000;0,050;23;178548,982561;5000000;25956;false
ap_50_2.txt;50;2;0,000;0,050;24;178548,982561;5000000;26106;false
ap_50_2.txt;50;2;0,000;0,050;25;178484,285703;3568367;18559;true
ap_50_2.txt;50;2;0,000;0,050;26;178484,285703;1106500;5710;true
ap_50_2.txt;50;2;0,000;0,050;27;178484,285703;1458646;7644;true
ap_50_2.txt;50;2;0,000;0,050;28;178484,285703;2432675;12686;true
ap_50_2.txt;50;2;0,000;0,050;29;178548,982561;5000000;25929;false
ap_50_2.txt;50;2;0,000;0,050;30;178484,285703;4945;26;true
ap_50_2.txt;50;2;0,000;0,100;1;178548,982561;5000000;26301;false
ap_50_2.txt;50;2;0,000;0,100;2;178548,982561;5000000;26590;false
ap_50_2.txt;50;2;0,000;0,100;3;178484,285703;18777;98;true
ap_50_2.txt;50;2;0,000;0,100;4;178484,285703;3181980;16776;true
ap_50_2.txt;50;2;0,000;0,100;5;178484,285703;2556025;13567;true
ap_50_2.txt;50;2;0,000;0,100;6;178484,285703;12428;65;true
ap_50_2.txt;50;2;0,000;0,100;7;178548,982561;5000000;26526;false
ap_50_2.txt;50;2;0,000;0,100;8;178484,285703;35544;187;true
ap_50_2.txt;50;2;0,000;0,100;9;178484,285703;1180733;7436;true
ap_50_2.txt;50;2;0,000;0,100;10;178484,285703;2207706;11590;true
ap_50_2.txt;50;2;0,000;0,100;11;178548,982561;5000000;26731;false
ap_50_2.txt;50;2;0,000;0,100;12;178484,285703;736459;3855;true
ap_50_2.txt;50;2;0,000;0,100;13;178548,982561;5000000;26356;false
ap_50_2.txt;50;2;0,000;0,100;14;178548,982561;5000000;26632;false
ap_50_2.txt;50;2;0,000;0,100;15;178548,982561;5000000;26230;false
ap_50_2.txt;50;2;0,000;0,100;16;178484,285703;23224;124;true
ap_50_2.txt;50;2;0,000;0,100;17;178484,285703;46683;317;true
ap_50_2.txt;50;2;0,000;0,100;18;178548,982561;5000000;26376;false
ap_50_2.txt;50;2;0,000;0,100;19;178484,285703;14631;76;true
ap_50_2.txt;50;2;0,000;0,100;20;178484,285703;42992;246;true
ap_50_2.txt;50;2;0,000;0,100;21;178548,982561;5000000;26358;false
ap_50_2.txt;50;2;0,000;0,100;22;178548,982561;5000000;26494;false
ap_50_2.txt;50;2;0,000;0,100;23;178484,285703;21302;112;true
ap_50_2.txt;50;2;0,000;0,100;24;178484,285703;347426;1834;true
